"CNTY_x","CNTYVTD","TOTPOP","BPOP","HPOP","CVAP_2012","BCVAP_2012","HCVAP_2012","Obama","Romney","bvotes","hvotes","ovotes","BRvotes","HRvotes","ORvotes","BDvotes","HDvotes","ODvotes"
1,"10001",2341,368,217,1858,281,41,261,754,79.6590356017024,56.0784978566856,879.812220473887,62.284240255676,44.8342742978923,636.816294178853,16.8719590901009,10.7090356352022,242.533012955981
1,"10002",2732,188,135,2995,237,199,228,1179,45.1963598814877,35.410325537251,1325.61512534292,4.4781565513816,6.48895372073312,1231.47322854971,40.5825897413409,28.7484106073769,93.9718450555712
1,"10003",1345,92,96,1225,54,34,108,650,21.916918082812,24.8091351782292,710.356587689705,18.0641617714418,22.1293013112725,583.640142214006,3.64080955707186,2.49764012685583,126.569112762023
1,"10004",1684,52,47,1789,90,11,128,729,12.583009694595,11.8189891730337,833.231595035145,8.12260449199698,8.58203334091719,711.063818176746,4.04611322048076,2.82075126713757,121.626254179808
1,"10005",366,3,12,356,0,4,13,174,0.696472099730735,3.07742919715159,183.054356963541,0.439982861428662,2.31101202421657,168.405927301463,0.215735310887468,0.676132078937997,14.4869270158082
1,"10006",1474,639,239,1782,968,123,385,317,248.689085433167,79.6596583306079,370.566317974578,167.233738278617,39.4745441364685,109.491035347486,81.2193223684418,39.9453185844928,260.885300663137
1,"10007",2106,887,752,1940,916,136,499,148,197.219606936533,198.334083633943,251.000446025849,28.7693187836566,59.0597846052964,61.3674913020914,168.21150404476,139.046299563023,189.485197093062
1,"10008",825,341,190,934,459,129,104,52,30.3287177770233,28.7295082201396,99.2422440698773,15.5049194237511,16.4319642887123,23.547651767635,14.1128497450566,11.4208920388781,74.9667944361646
1,"10009",1599,132,104,1612,323,79,157,559,31.1444935835801,26.4527551646884,659.546190308172,23.0040565608523,18.5959226378856,513.341994821581,7.69421063686755,7.35164653604539,145.647581560266
1,"10010",6925,2641,1572,7526,2687,1615,45,278,56.0697026701364,68.7495698966333,201.630967934025,41.2586208709464,57.1655491739381,177.432045535092,13.1149550606038,10.1609117039728,22.8969914575012
1,"10011",8731,3483,1818,4457,1685,772,179,518,116.751257783998,132.748253084269,450.338924715763,90.127534506457,104.279921227977,320.646847535777,25.3852224139843,27.2449036651466,128.660243572344
1,"10013",2114,267,239,2043,374,173,256,782,65.3877904698405,63.7101577967241,908.158551390122,58.6965732935399,59.0694172998782,642.473932347532,6.49094830260566,4.46343235106623,265.499899578042
1,"10015",972,43,59,901,26,15,91,463,10.2450462024248,15.6972316595011,527.732275755444,7.56706665916215,11.9839211478188,431.741581215234,2.48032083496524,3.60946233248129,95.8861897208642
1,"10016",829,86,33,1013,159,58,95,335,21.0112143767558,8.26800020882704,400.97122789523,18.0184940231427,6.51402258173847,299.318362616685,2.8122833225536,1.57815865153591,101.456102638333
1,"10017",986,154,114,1192,186,80,145,343,37.2249414021006,31.5499264092446,419.794079945959,27.6990122684958,26.0629906131691,279.768525184406,9.02038115468466,5.01213479837461,139.562908310278
1,"10018",2334,229,94,2650,497,73,245,954,53.6813638248368,24.8173874352506,1120.99552885713,45.8805405493429,20.5179569690926,870.596237322162,7.27145990617889,3.8247974432124,249.836615157452
1,"10019",2560,299,303,2522,419,201,280,999,77.3148462095704,86.3877844921052,1114.6688505671,68.5691328928143,63.7462568998919,859.605107665183,8.56170728915859,22.424206094885,254.84812222538
1,"10020",1477,166,336,1297,317,111,168,519,41.0806552498907,87.7540149894283,557.473060413599,33.1192096081145,75.0538249045145,392.430130766764,7.7662986075877,12.4528737909493,164.828802675507
1,"10021",2266,151,223,1878,348,199,139,899,36.7654645146162,58.3905524529205,942.955988942288,31.6203100779012,54.6965237410545,736.497784281097,4.94317096304156,3.51990888060008,206.209185333242
1,"10022",1103,118,60,1271,84,47,127,498,30.0491839469754,15.75970663109,579.369440014562,26.9925193113882,13.5868794889046,432.302962333549,2.86004038425191,2.02400702097065,146.899810302575
1,"10023",1359,62,46,1803,147,21,116,702,14.742359442599,11.8940666282715,790.323222190514,12.4444714677998,10.0620218739815,625.553997073451,2.12764661716341,1.68295879245782,164.551786317647
1,"10024",855,22,24,1081,100,30,44,410,5.10020912322734,5.99080910269087,442.134904235178,3.75692311551753,4.397323857011,404.434606494522,1.21135403798376,1.45690121487728,37.5450292548447
3,"30001",2607,19,1294,1984,23,914,181,761,9.6143320250933,475.927978994543,456.380990575528,5.49479634947685,340.889348374065,399.617651060547,3.65293399090645,134.779018332981,56.5169646697313
3,"30002",2689,22,768,2596,26,564,199,1297,11.0653960094054,352.890249495092,1131.06052188377,7.49541545859335,349.154609295268,855.798928700799,3.07460721233718,3.47832437308296,275.020178523366
3,"30003",2596,59,1107,2425,45,849,205,932,29.9196384920586,437.688000537403,670.243024422226,16.0717136806463,418.617873981027,491.19053673833,12.7616321480376,18.631749919816,178.571257201921
3,"30004",2582,33,1373,2095,10,1024,210,649,16.7069591789581,413.183035395302,430.37805057817,9.66269666246233,304.807503783238,330.748464147572,6.1713559632963,107.894280652038,99.0950502050005
5,"50001",868,135,338,822,258,127,115,174,39.6618389118322,59.7391974803413,190.92692334523,26.2955770302584,50.2183703539947,98.9936072920047,12.4383051925752,8.74141834885954,91.2018328463354
5,"50002",4145,1789,1195,3306,1397,720,937,322,414.456714318735,259.329548740856,585.967713628475,14.2048210933278,53.1525027150844,275.160704923158,400.090262437221,206.003276874462,310.64265045807
5,"50003",2811,112,435,2371,159,218,233,856,37.0077465252802,102.450675678258,950.979710934467,32.4957141447294,102.050703521661,707.241007928321,4.03364366573905,0.294897810351197,243.061284166452
5,"50004",1190,365,234,1051,176,171,187,225,93.2118144936615,50.0082213354119,271.249340452013,57.7505686203914,35.7841373171261,134.34581936778,34.5669143046017,13.4498294558856,136.10156634194
5,"50005",2595,571,564,2670,646,234,414,604,167.83327575829,137.694151821177,712.618642225463,101.373403404157,59.1508992890021,449.577580256818,65.9362511340045,78.0403410493373,262.591241679199
5,"50006",919,23,143,840,101,27,103,287,7.18114746794817,35.8169458753755,348.584390877673,5.02026198186629,27.3261065291181,252.158514191491,1.52936156291352,7.61486056432631,95.5454591453041
5,"50007",1005,7,74,984,37,142,37,508,2.23950686915176,20.437965198654,521.919977312013,1.64245666749783,19.0733672813148,480.662784555062,0.473366374087259,1.2214067418071,41.0999207218002
5,"50008A",1123,2,52,1035,58,39,77,660,0.649529540243599,14.4662542374459,719.377120114119,0.479778714360906,12.7670157068712,610.521651591224,0.13439507257335,1.54575440655156,108.624488260173
