"CNTY_x","CNTYVTD","VAP","BVAP","HVAP","TOTPOP","BPOP","HPOP","Obama","Romney","bvotes","hvotes","ovotes","BRvotes","BDvotes","HRvotes","HDvotes","ORvotes","ODvotes"
1,"10001",2341,368,217,1858,281,41,261,754,68.5766997133183,11.4589145275636,935.016705186101,22.6800846517789,45.8966150615395,6.22093265722066,5.23798187034296,725.258275339197,209.758429846905
1,"10002",2732,188,135,2995,237,199,228,1179,55.700434795086,55.9991807355161,1294.92228484581,18.3618467868594,37.3385880082265,29.8831743164389,26.1160064190773,1130.21320836005,164.709076485763
1,"10003",1345,92,96,1225,54,34,108,650,12.7375834748237,9.50552625595942,734.88113252107,4.40035418121121,8.33722929361249,5.20551605372125,4.30001020223817,638.820387111845,96.0607454092255
1,"10004",1684,52,47,1789,90,11,128,729,20.9270107331193,3.21882162308072,832.626778629501,7.15696381776994,13.7700469153493,1.77214133223785,1.44668029084287,719.501937599126,113.124841030375
1,"10005",366,3,12,356,0,4,13,174,0,1.12030752238494,185.603931641856,0,0,0.607748175215805,0.512559347169132,172.222029317224,13.3819023246319
1,"10006",1474,639,239,1782,968,123,385,317,248.369114250076,37.8283869940372,413.877515220571,56.634443217012,191.734671033064,19.8004176876081,18.0279693064291,240.962777595586,172.914737624985
1,"10007",2106,887,752,1940,916,136,499,148,158.721591896535,39.1811261217427,448.819147447043,27.0711305697854,131.650461326749,18.8086084742827,20.37251764746,106.168014238246,342.651133208797
1,"10008",825,341,190,934,459,129,104,52,31.4603202598454,28.2290972679088,98.6507410321905,7.6281403394808,23.8321799203646,12.340481923683,15.8886153442259,35.8157699342778,62.8349710979126
1,"10009",1599,132,104,1612,323,79,157,559,71.8116320519237,22.7889177088423,622.543414562661,23.8629080461603,47.9487240057635,12.1885679040271,10.6003498048152,523.764147212538,98.7792673501225
1,"10010",6925,2641,1572,7526,2687,1615,45,278,55.7982866631274,70.8424462106435,200.740850799337,32.7983994092121,22.9998872539152,55.5034976191502,15.3389485914933,189.684302481165,11.0565483181725
1,"10011",8731,3483,1818,4457,1685,772,179,518,119.829954067768,137.063987355575,444.500751419018,44.2836498893772,75.5463041783906,82.3972743154163,54.6667130401592,394.429026102821,50.071725316197
1,"10013",2114,267,239,2043,374,173,256,782,100.200971809752,52.3745618486853,884.812993708438,32.9598178805564,67.2411539291958,28.0918162967643,24.2827455519211,720.189976100949,164.623017607489
1,"10015",972,43,59,901,26,15,91,463,5.91390916028074,4.27003547844076,543.233500018575,2.07829653937524,3.8356126209055,2.31337425975355,1.95666121868721,457.988178986407,85.245321032167
1,"10016",829,86,33,1013,159,58,95,335,34.1433521101944,16.1985236218469,380.075605172241,10.8982885142321,23.2450635959623,8.54926984888998,7.64925377295687,315.587045790736,64.4885593815052
1,"10017",986,154,114,1192,186,80,145,343,40.3269119371613,21.898524727677,426.837663943238,13.2532547306313,27.07365720653,11.8693258935979,10.0291988340791,318.11107222189,108.726591721348
1,"10018",2334,229,94,2650,497,73,245,954,114.736154985148,19.9362087952676,1064.48636341542,35.6522880400988,79.0838669450497,10.5645276280759,9.37168116719173,907.871448220757,156.614915194661
1,"10019",2560,299,303,2522,419,201,280,999,99.881709123919,59.6265840435568,1118.70552193582,32.718045647407,67.163663476512,32.263059573988,27.3635244695688,933.050879807577,185.654642128242
1,"10020",1477,166,336,1297,317,111,168,519,77.665334479079,33.2111695491846,574.666272268393,25.6058303946452,52.0595040844338,17.7110815927316,15.500087956453,474.905100607659,99.7611716607341
1,"10021",2266,151,223,1878,348,199,139,899,88.0307036439452,57.0366240860648,892.765854019226,29.4751518943554,58.5555517495898,31.1760216779948,25.8606024080701,837.139671625407,55.626182393819
1,"10022",1103,118,60,1271,84,47,127,498,18.3110327119481,12.8688956793603,592.560899395245,6.31366217520025,11.9973705367479,7.0503186162364,5.81857706312385,483.303866474746,109.257032920499
1,"10023",1359,62,46,1803,147,21,116,702,30.7897294997698,6.0547797950224,780.972452958142,10.2879113661566,20.5018181336131,3.17617777402796,2.87860202099445,688.449046112786,92.5234068453563
1,"10024",855,22,24,1081,100,30,44,410,21.8916051704116,8.6347344440842,424.068061777915,7.38035765273866,14.5112475176729,4.67409033522483,3.96064410885937,398.040152082206,26.027909695709
3,"30001",2607,19,1294,1984,23,914,181,761,11.6358518240109,366.803161016846,564.034727402304,5.8794291565245,5.75642266748635,260.102511054809,106.700649962036,494.513648069507,69.5210793327962
3,"30002",2689,22,768,2596,26,564,199,1297,13.1455707820749,244.858110474557,1237.74216115987,6.55028029193128,6.59529049014359,151.60080020634,93.2573102682168,1137.81313018956,99.9290309703079
3,"30003",2596,59,1107,2425,45,849,205,932,22.3113225736364,353.310966076392,761.049109971887,11.0949983520249,11.2163242216115,242.673590887447,110.637375188945,676.028303444244,85.0208065276439
3,"30004",2582,33,1373,2095,10,1024,210,649,5.04887310768358,373.498418512053,481.378060053732,2.48497818424045,2.56389492344313,250.946349688799,122.552068823253,396.006790086778,85.3712699669533
5,"50001",868,135,338,822,258,127,115,174,51.849552997,34.8595003687139,204.225478819939,9.15948926042108,42.6900637365789,9.92702555619946,24.9324748125145,157.577953449869,46.64752537007
5,"50002",4145,1789,1195,3306,1397,720,937,322,339.711356376256,245.387194063845,674.680984763985,32.5808636302549,307.130492746001,44.5003620882861,200.886831975559,249.488736184082,425.192248579903
5,"50003",2811,112,435,2371,159,218,233,856,41.9431256591859,64.6149292536584,984.164027086329,8.91533889706993,33.027786762116,20.3171864230777,44.2977428305807,829.128193161886,155.035833924443
5,"50004",1190,365,234,1051,176,171,187,225,41.4309682938852,48.8249113259275,322.899911197946,7.94884007158751,33.4821282222977,14.530891180051,34.2940201458765,204.504185606084,118.395725591862
5,"50005",2595,571,564,2670,646,234,414,604,142.362704879849,70.2252505977825,806.774799091859,27.9914284313366,114.371276448513,21.433140057391,48.7921105403915,557.257547308874,249.517251782985
5,"50006",919,23,143,840,101,27,103,287,25.2653504939191,8.32635946483678,356.898495020697,5.51389229288424,19.7514582010348,2.5071655092798,5.81919395555698,279.136636573751,77.761858446946
5,"50007",1005,7,74,984,37,142,37,508,9.8152364156689,47.3444629338458,487.318562366548,2.46233689014503,7.35289952552386,25.8488683273471,21.4955946064988,475.632909716267,11.6856526502814
5,"50008A",1123,2,52,1035,58,39,77,660,15.7654520132892,12.8084568627915,706.778306022403,3.44233013735849,12.3231218759307,4.148459091817,8.65999777097453,650.178844491592,56.5994615308103
5,"50008B",743,15,48,540,18,55,48,298,4.94372511342787,18.0971034461899,321.539059344806,1.03854905245723,3.90517606097063,5.62373673099007,12.4733667151998,289.525589943698,32.0134694011078
5,"50009",408,34,8,405,137,31,40,135,32.6677443221705,9.65832231652307,132.67355362417,8.16866876833185,24.4990755538387,3.22107047003963,6.43725184648344,121.786811777932,10.8867418462371
5,"50010A",1587,426,337,1389,202,167,285,355,50.5549210023197,53.2269313984869,536.195219830871,9.74009153703939,40.8148294652803,15.7002474885385,37.5266839099484,330.599009216202,205.596210614668
5,"50010B",202,93,65,179,54,13,34,43,12.6017461383762,3.99119130747574,60.673664941104,2.29529037237312,10.3064557660031,1.20246655775143,2.78872474972431,41.1280570074494,19.5456079336546
5,"50011",2163,43,91,2134,39,20,137,1028,10.2716957114285,6.40170692678533,1147.87709066067,2.23026613531518,8.04142957611336,2.06122996453307,4.34047696225226,1022.93202589002,124.945064770652
5,"50012",1177,51,116,1144,65,86,94,427,16.5105371707388,27.0551657288329,478.545792749507,3.64883492435926,12.8617022463795,8.68484982974581,18.3703158990871,415.405889891355,63.1399028581526
5,"50013",872,169,190,832,225,55,142,277,63.7696672066479,18.4608321925207,336.815522370889,12.1101748243952,51.6594923822527,5.93533429174598,12.5254979007747,260.027004032158,76.7885183387314
5,"50014",2057,280,219,2124,194,134,311,869,52.0737920535411,42.3338563779158,1085.10189872722,11.2928600640989,40.7809319894423,13.311612742522,29.0222436353938,844.318576459341,240.783322267875
5,"50015",1352,227,362,1381,130,318,65,272,28.8885721989105,55.1766982421804,256.399761578183,7.90189752695528,20.9866746719552,24.235900147093,30.9407980950874,240.130523918811,16.2692376593716
5,"50016",3380,698,1407,3058,708,1056,524,571,162.012708460306,255.534269837303,677.897492975894,28.4119074116943,133.600801048612,64.0179192517557,191.516350585548,481.040283235749,196.857209740145
5,"50017",2064,10,36,2115,14,23,181,795,3.56385206119264,6.92665331123094,965.982451386811,0.812994370722042,2.7508576904706,2.18799931995432,4.73865399127662,791.992592527002,173.989858859809
5,"50018",796,124,98,676,96,42,82,288,26.242756086707,13.7017411577951,329.347645791192,5.55726988151974,20.6854862051872,4.26319883221858,9.43854232557655,277.369037643666,51.978608147526
5,"50019",1514,189,78,1253,0,43,253,771,0,15.0345281528297,1006.101987191,0,0,4.96212544374795,10.0724027090818,764.406349329677,241.695637861318
5,"50020",4132,2041,1413,3837,2119,699,1190,157,493.501969829128,259.385946595966,593.152151393011,19.6949585942632,473.807011234865,25.162681171561,234.223265424405,117.393149293459,475.759002099552
5,"50021",1999,282,238,2052,457,82,205,612,105.728812169431,25.9374645836825,688.217953624989,22.0471542476053,83.6816579218257,8.49946130627175,17.4380032774107,584.08612275252,104.131830872469
5,"50022",601,21,25,495,25,17,47,261,6.78576665297633,5.49699904750654,294.100135101158,1.47499475910731,5.31077189386902,1.72624601562363,3.77075303188292,256.017212182279,38.0829229188791
5,"50023",595,2,17,520,24,24,51,260,6.51844289304265,7.64400535757407,295.833924847635,1.42048138628929,5.09796150675336,2.41090803967485,5.23309731789922,255.32295517312,40.510969674515
5,"50024",3162,165,661,3084,309,370,223,1078,81.719890697567,103.12465120974,1117.01587573219,17.6480184658607,64.0718722317063,32.8984481906281,70.2262030191122,1028.38725900452,88.628616727672
5,"50025",2694,134,390,2840,218,346,227,1016,54.8902320869247,101.948995044559,1085.71574297486,11.918206966296,42.9720251206288,31.6078796175637,70.3411154269951,971.856026572463,113.8597164024
5,"50026",1647,41,73,1682,115,56,121,887,32.032694980761,17.8314169002614,956.240477648766,7.02925983475364,25.0034351460074,5.54299039993921,12.2884265003222,871.47006122181,84.7704164269558
5,"50027",384,0,9,364,7,54,23,207,1.91257764106531,18.510266589147,208.288669899718,0.41891594116445,1.49366169990085,6.19728500388712,12.3129815852599,198.15304616172,10.1356237379981
5,"50028",1173,42,217,1100,34,143,111,542,9.36709134925806,46.7783616668271,596.03938434031,2.00746510054707,7.35962624871099,14.4175582699651,32.360803396862,524.229592645745,71.809791694564
5,"50029",1656,47,141,1340,97,36,149,697,27.0178769010473,11.6956648485736,805.999759833172,5.61037640459257,21.4075004964547,3.78332407479287,7.91234077378071,686.421591663478,119.578168169693
5,"50030",1076,4,30,979,0,27,76,462,0,8.45305682658112,529.497297825228,0,0,2.70641299664254,5.74664382993858,458.783761215168,70.7135366100607
5,"50031",557,17,163,527,10,81,49,169,2.64173782469625,23.2449090749929,193.338863984656,0.574798000198918,2.06693982449733,7.04780026599235,16.1971088090005,162.873439376935,30.4654246077211
5,"50032",439,13,3,446,0,12,33,223,0,3.85762850600174,251.562306030039,0,0,1.2576921408852,2.59993636511654,220.748250254914,30.8140557751244
5,"50033",905,9,33,881,28,20,55,424,7.7477320277639,6.43305346146922,464.285079168105,1.65114693683141,6.09658509093249,2.06005229258675,4.37300116888247,418.967487705627,45.3175914624775
5,"50034",2620,285,170,2075,166,118,248,1009,47.2842209533834,38.320580408042,1169.52266622922,10.5091889075654,36.775032045818,12.3577324426448,25.9628479653973,983.622108788831,185.900557440387
5,"50035",1919,204,130,1806,202,111,203,910,57.4032124630243,36.2015142583406,1017.62011988584,12.2812922226283,45.1219202403959,11.3865503495614,24.8149639087792,884.907451780268,132.712668105574
5,"50036",4,0,0,5,0,1,1,2,0,0.343928322844025,2.33835542102237,0,0,0.108251534292851,0.235676788551174,1.73202312588568,0.606332295136695
5,"50037",547,16,90,557,27,49,42,198,6.94541793504361,14.6777816096053,219.570561658058,1.53921412155769,5.40620381348592,4.46268940840051,10.2150922012048,192.917126434663,26.6534352233949
5,"50038",521,13,90,513,33,88,32,186,8.39482715809789,24.8507771658509,185.965411521167,1.89970777188268,6.49511938621521,8.28836267255972,16.5624144932912,174.628525174214,11.3368863469532
5,"50039",817,125,65,835,166,99,80,265,38.3669764616996,29.4920730097308,277.876470584675,7.70484922055355,30.662127241146,9.02508134715946,20.4669916625714,247.940091080854,29.9363795038212
5,"50040",1124,276,158,1004,330,42,171,306,87.9314698715384,12.9615590518882,375.022614321817,17.2584531542345,70.6730167173039,3.97714253495566,8.98441651693255,285.112539877634,89.9100744441832
5,"5011B",1518,92,52,1343,113,24,150,494,30.2091729728835,7.7263994072085,607.268233631585,6.53018848284263,23.6789844900408,2.45672601726135,5.26967338994715,486.594353621792,120.673880009793
5,"5017B",504,1,6,469,6,2,47,171,1.62265188491362,0.648290587131028,216.592749382519,0.35948593686244,1.26316594805118,0.212350883197873,0.435939703933155,171.457250132561,45.135499249958
7,"70001",2287,24,276,2071,4,457,315,889,2.02799971858993,222.891520024048,977.73672774428,1.03322341721972,0.994776301370204,104.213381896951,118.678138127097,783.137158898159,194.59956884612
7,"70002",4386,68,1652,3902,19,1260,736,1118,9.86423537174831,621.785321327072,1221.57330487874,4.94016270350803,4.92407266824028,253.114830198571,368.670491128502,859.541000219341,362.032304659402
7,"70003",4941,50,743,5238,16,583,684,2011,8.25363119516004,274.754001661168,2410.68439541267,4.14140330953082,4.11222788562922,129.461105520948,145.292896140219,1874.93084002487,535.753555387798
7,"70004",3772,28,416,3501,0,513,584,1742,0,252.237699242452,2073.29979260107,0,0,116.454440313553,135.783258928899,1625.10793501763,448.191857583438
7,"7001A",2267,29,564,1958,20,381,225,536,10.2008053640287,182.364705618028,568.826058987849,5.12889841567406,5.0719069483546,82.995807877868,99.3688977401602,448.109797290994,120.716261696855
7,"7004A",982,1,96,1230,0,155,160,534,0,78.0038746032852,616.258588595273,0,0,36.5890525838918,41.4148220193934,497.531703716162,118.726884879111
9,"90001",1578,4,63,1463,0,22,97,733,0,10.6434951286584,819.350812891061,0,0,5.76552392517648,4.87797120348189,727.213534974719,92.137277916342
9,"90002",925,4,39,931,2,13,83,542,1.02457332278411,6.30777155042865,617.182688796858,0.5237807828646,0.500792539919508,3.42254769862606,2.88522385180259,537.528789016752,79.6538997801061
9,"90003",416,0,92,422,0,63,22,195,0,29.530602191082,188.15479861098,0,0,16.9439732237292,12.5866289673528,178.012851917178,10.1419466938025
9,"90004",685,0,118,675,1,82,29,425,0.498326882985348,40.2345704999149,412.248100502824,0.251291679001659,0.247035203983688,23.7441217034633,16.4904487964516,398.115431126295,14.1326693765291
9,"90005",169,0,9,136,1,0,12,89,0.501016161389058,0,99.6313609913202,0.253879041214249,0.24713712017481,0,0,87.7509865133502,11.88037447797
9,"90006",1393,0,53,1198,26,6,115,683,12.7836773963108,2.89681608573099,781.326669648028,6.3427876889439,6.4408897073669,1.53753342999244,1.35928265573855,673.709320996161,107.617348651867
9,"90007",267,0,5,259,0,13,12,136,0,6.26826362237273,142.146848891039,0,0,3.33945559470984,2.9288080276629,132.5116251114,9.63522377963881
9,"90008",337,1,17,328,1,6,24,194,0.497911139587129,2.94865073572634,214.148413095301,0.247809863694497,0.250101275892632,1.59959375056474,1.3490569851616,190.912197180544,23.2362159147566
9,"90009",212,0,3,203,0,9,20,86,0,4.49423938137678,102.020610375153,0,0,2.31908066894491,2.17515871243187,84.2737014332222,17.7469089419305
9,"90010",760,4,22,823,0,15,105,448,0,7.19191804925129,546.217615797682,0,0,3.78347198928909,3.4084460599622,444.778370355054,101.439245442628
9,"90011",127,3,2,124,0,1,6,69,0,0.492339957894217,74.4266593069885,0,0,0.265216267947951,0.227123689946266,67.9694861841547,6.45717312283377
11,"110101",366,0,15,339,3,16,22,208,1.44015642326228,7.59315969138245,221.289893955,0.707763611224086,0.732392812038199,3.50960240871004,4.08355728267241,203.544583699477,17.7453102555234
11,"110201",255,1,23,271,9,35,29,107,4.4238026161781,16.3559143661483,116.291875179909,2.13033413181485,2.29346848436325,7.39244025515206,8.9634741109962,98.4908666387356,17.8010085411729
11,"110202",118,1,6,112,2,9,11,51,0.950845322066124,4.23824926046064,56.9122564262791,0.458089278325273,0.492756043740851,1.88506511276003,2.35318414770061,48.7291090405116,8.18314738576747
11,"110301",277,1,7,262,2,13,17,166,1.00463252781498,6.25947517011646,175.031586450113,0.493717097830768,0.510915429984212,2.91424588264067,3.34522928747579,161.59456726049,13.4370191896229
11,"110303",83,1,3,88,3,11,5,46,1.46485040642499,5.14220837182784,44.7467027817341,0.693761698469122,0.771088707955868,2.45670635589142,2.68550201593642,42.2545354350031,2.49216734673096
11,"110401",172,0,8,154,0,4,8,123,0,1.94086345087773,127.867683915029,0,0,0.91533791895787,1.02552553191986,120.552116122527,7.31556779250225
11,"110402",178,1,10,145,0,0,6,108,0,0,113.171684917754,0,0,0,0,106.763652422298,6.4080324954556
11,"110404",29,0,0,28,1,2,0,19,0.487531800333536,0.962470914849077,17.3473110770621,0.241823582429554,0.245708217903982,0.507773125666077,0.454697789183,16.7551253156203,0.592185761441784
13,"130001",973,5,422,862,0,441,120,279,0,114.880565526297,284.514146389424,0,0,40.5556524598317,74.3249130664649,238.030452117602,46.4836942718218
13,"130002",1802,8,1304,1709,18,1074,221,232,8.56326818259584,138.26462823795,308.249433968153,4.17062643880924,4.3926417437866,39.4364814758233,98.8281467621271,190.486538501446,117.762895466706
